Number,MainVerb,VerbCompliment,ControlNumber,PatternNumber
1,abide,by,27%69,3
2,accede,to,27%346,3
3,account,for,27%117,3
4,acquaint,with,30%132,23
5,act,on,27%264,3
6,act,out,19%15,2%4
7,act,out,20%129,2%6
8,act,up,22%86,1
9,act,up,22%87,1
10,add,in,14%39,2%4
11,add,on,17%5,2%4
12,add,together,29%52,2%4
13,add,together,29%53,2%4
14,add,up,17%120,2%4
15,add,up,17%121,1
16,add,up to,17%159,3
17,add,up to,17%160,3
18,adhere,to,21%45,3
19,adhere,to,27%371,3
20,admit,of,33%49,2
21,agree,to,27%350,3
22,agree,with,30%168,3
23,agree,with,33%77,3
24,aim,at,27%29,23
25,aim,at,27%30,5
26,allow,for,27%115,3
27,allow,for,27%116,21
28,amount,to,17%30,2
29,angle,for,27%93,3
30,answer,back,26%2,1
31,answer,for,27%144,3
32,answer,to,27%362,3
33,answer,to,33%68,3
34,answer,to,33%69,3
35,apprise,of,27%188,5
36,approve,of,27%193,3
37,argue,down,8%31,4
38,argue,out,24%127,2%4
39,argue,out of,10%60,5
40,arse,around,2%74,1
41,ask,after,27%13,3
42,ask,around,2%63,8
43,ask,for,27%132,3
44,ask,for,27%133,2%1
45,ask,in,14%17,4
46,ask,into,14%178,5
47,ask,out,13%26,2%4
48,ask,over,3%65,4
49,ask,around,3%69,4
50,aspire,to,27%345,3
51,attend,to,27%357,3
52,auction,off,28%76,2%4
53,average,out,28%76,2%4
54,average,out,28%77,1
55,back,away,4%29,1
56,back,away,4%30,1
57,back,away,4%34,1
58,back,down,24%16,1
59,back,off,9%69,1
60,back,onto,6%38,3
61,back,out,9%96,1
62,back,up,3%79,9%4
63,back,up,10%78,2%4
64,back,up,10%79,2%4
65,bag,up,21%89,2%4
66,bail,out,13%83,2%4
67,bail,out,13%84,2%4
68,bail,out,13%85,1
69,bail,out,13%86,9%4
70,bail,out,13%87,17
71,balance,against,28%1,5
72,balance,out,28%78,1
73,balance,up,28%118,1
74,balk[baulk],at,9%18,3
75,balls,up,22%15,2%4
76,band,together,30%99,1
77,bandage,up,22%49,2%4
78,bandy,around,2%89,2%4
79,bang,about,2%5,1
80,bang,away,25%54,1
81,bang,into,6%8,3
82,bang,on,25%82,1
83,bang,out,20%82,2%4
84,bank,on,27%260,3
85,bank,up,17%75,2%4
86,bargain,for,27%112,3
87,bargain,on,27%258,3
88,barge,in on,14%142,3
89,barge,into,6%11,3
90,barge,into,14%167,3
91,barge,through,2%133,3
92,bark,out,20%63,11
93,base,on,33%58,16
94,bash,in,14%138,2%4
95,bash,on,25%71,1
96,bash,up,7%78,2%4
97,batter,down,17%98,2%4
98,bawl,out,20%67,2%4
99,bawl,out,20%68,9%4
100,bear,down on,3%19,3
101,bear,on,27%232,3
102,bear,out,25%134,2%4
103,beat,back,7%35,2%6
104,beat,down,15%45,1
105,beat,down,18%34,2%4
106,beat,down,18%35,2%4
107,beat,off,11%6,2%6
108,beat,on,7%57,3
109,beat,out,20%90,2%4
110,beat,out,24%83,2%4
111,beat,up on,7%81,3
112,beat,up,7%75,2%4
113,beaver,away,25%42,1
114,become,of,20%27,3
115,bed,down,15%102,1
116,bed,out,28%72,2%4
